VMetaFrameType.PROTO/drone/quat/w,VMetaFrameType.PROTO/drone/quat/x,VMetaFrameType.PROTO/drone/quat/y,VMetaFrameType.PROTO/drone/quat/z,VMetaFrameType.PROTO/drone/location/latitude,VMetaFrameType.PROTO/drone/location/longitude,VMetaFrameType.PROTO/drone/location/altitude_egm96amsl,VMetaFrameType.PROTO/drone/location/sv_count,VMetaFrameType.PROTO/drone/ground_distance,VMetaFrameType.PROTO/drone/speed/north,VMetaFrameType.PROTO/drone/speed/east,VMetaFrameType.PROTO/drone/speed/down,VMetaFrameType.PROTO/drone/battery_percentage,VMetaFrameType.PROTO/drone/animation_in_progress,VMetaFrameType.PROTO/drone/flying_state,VMetaFrameType.PROTO/drone/piloting_mode,VMetaFrameType.PROTO/camera/timestamp,VMetaFrameType.PROTO/camera/base_quat/w,VMetaFrameType.PROTO/camera/base_quat/x,VMetaFrameType.PROTO/camera/base_quat/y,VMetaFrameType.PROTO/camera/base_quat/z,VMetaFrameType.PROTO/camera/quat/w,VMetaFrameType.PROTO/camera/quat/x,VMetaFrameType.PROTO/camera/quat/y,VMetaFrameType.PROTO/camera/quat/z,VMetaFrameType.PROTO/camera/exposure_time,VMetaFrameType.PROTO/camera/iso_gain,VMetaFrameType.PROTO/camera/awb_r_gain,VMetaFrameType.PROTO/camera/awb_b_gain,VMetaFrameType.PROTO/camera/hfov,VMetaFrameType.PROTO/camera/vfov,VMetaFrameType.PROTO/links/0/wifi/goodput,VMetaFrameType.PROTO/links/0/wifi/quality,VMetaFrameType.PROTO/links/0/wifi/rssi,VMetaFrameType.PROTO/automation/follow_me,VMetaFrameType.PROTO/automation/lookat_me,VMetaFrameType.PROTO/automation/angle_locked,VMetaFrameType.PROTO/automation/animation
-0.53131103515625,-0.0076904296875,-0.01275634765625,-0.84698486328125,38.63501596450806,-90.23070788383484,156.76953125,24,3.222869873046875,-0.09375,0,1.55859375,55,false,FS_FLYING,PM_MANUAL,1235488616,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.531005859375,-0.0023193359375,-0.015380859375,-0.84716796875,38.63501596450806,-90.23070788383484,156.72265625,24,3.174835205078125,-0.11328125,-0.0078125,1.52734375,55,false,FS_FLYING,PM_MANUAL,1235521986,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.531005859375,-0.0023193359375,-0.015380859375,-0.84716796875,38.63501596450806,-90.23070788383484,156.72265625,24,3.174835205078125,-0.11328125,-0.0078125,1.52734375,55,false,FS_FLYING,PM_MANUAL,1235521986,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53167724609375,0.0072021484375,-0.0096435546875,-0.8468017578125,38.63501596450806,-90.23070788383484,156.6484375,24,3.1010589599609375,-0.1328125,-0.01953125,1.4921875,55,false,FS_FLYING,PM_MANUAL,1235555347,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53167724609375,0.0072021484375,-0.0096435546875,-0.8468017578125,38.63501596450806,-90.23070788383484,156.6484375,24,3.1010589599609375,-0.1328125,-0.01953125,1.4921875,55,false,FS_FLYING,PM_MANUAL,1235555347,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.5321044921875,0.020263671875,0.005859375,-0.84637451171875,38.63501596450806,-90.23070788383484,156.5859375,24,3.0554046630859375,-0.125,-0.02734375,1.47265625,55,false,FS_FLYING,PM_MANUAL,1235588710,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.5321044921875,0.020263671875,0.005859375,-0.84637451171875,38.63501596450806,-90.23070788383484,156.5859375,24,3.0554046630859375,-0.125,-0.02734375,1.47265625,55,false,FS_FLYING,PM_MANUAL,1235588710,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,7954,4,-57,false,false,false,ANIM_NONE
-0.53106689453125,0.02886962890625,0.0238037109375,-0.846435546875,38.63501596450806,-90.23070788383484,156.55078125,24,3.0178680419921875,-0.109375,-0.0234375,1.453125,55,false,FS_FLYING,PM_MANUAL,1235622074,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,9315,4,-54,false,false,false,ANIM_NONE
-0.53106689453125,0.02886962890625,0.0238037109375,-0.846435546875,38.63501596450806,-90.23070788383484,156.55078125,24,3.0178680419921875,-0.109375,-0.0234375,1.453125,55,false,FS_FLYING,PM_MANUAL,1235622074,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,9315,4,-54,false,false,false,ANIM_NONE
-0.5286865234375,0.03662109375,0.0491943359375,-0.8465576171875,38.63501596450806,-90.23070812225342,156.4921875,24,2.977935791015625,-0.06640625,-0.01171875,1.44140625,55,false,FS_FLYING,PM_MANUAL,1235655442,-0.5325927734375,0,0,-0.8463134765625,-0.3927001953125,-0.57177734375,0.35980224609375,-0.62396240234375,4.98828125,105,1.9775390625,1.417236328125,1.2042771577835083,0.7377424836158752,9315,4,-54,false,false,false,ANIM_NONE
